"GOV","Level of government","TAX","Revenue category","YEA","Year","Value","Flag Codes","Flags"
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2001","2001",294496,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2002","2002",400023,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2003","2003",467002,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2004","2004",616343,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2005","2005",767853,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2006","2006",842193,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2007","2007",776156,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2008","2008",926763,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2009","2009",1250546,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2010","2010",1510809,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2011","2011",2160342,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2012","2012",2542331,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2013","2013",2674495,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2014","2014",3221470.945,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2015","2015",3494637,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2016","2016",3613247,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2017","2017",4028658,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2018","2018",5061314,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2019","2019",6665747,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2020","2020",7821326,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2021","2021",8569967,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2001","2001",294496,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2002","2002",400023,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2003","2003",467002,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2004","2004",616343,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2005","2005",767853,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2006","2006",842193,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2007","2007",776156,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2008","2008",926763,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2009","2009",1250546,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2010","2010",1510809,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2011","2011",2160342,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2012","2012",2542331,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2013","2013",2674495,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2014","2014",3221470.945,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2015","2015",3494637,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2016","2016",3613247,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2017","2017",4028658,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2018","2018",5061314,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2019","2019",6665747,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2020","2020",7821326,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2021","2021",8569967,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2001","2001",198761,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2002","2002",230395,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2003","2003",277807,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2004","2004",336123,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2005","2005",374357,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2006","2006",456397,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2007","2007",488901,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2008","2008",604876,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2009","2009",681024,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2010","2010",929506,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2011","2011",1166835,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2012","2012",1594260,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2013","2013",1777109,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2014","2014",1968761.945,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2015","2015",2135262,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2016","2016",2587130,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2017","2017",2953447,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2018","2018",3545043,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2019","2019",4326905,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2020","2020",4376983,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2021","2021",5193373,,
"NES","Total","TOTALTAX","Total tax revenue","2001","2001",198761,,
"NES","Total","TOTALTAX","Total tax revenue","2002","2002",230395,,
"NES","Total","TOTALTAX","Total tax revenue","2003","2003",277807,,
"NES","Total","TOTALTAX","Total tax revenue","2004","2004",336123,,
"NES","Total","TOTALTAX","Total tax revenue","2005","2005",374357,,
"NES","Total","TOTALTAX","Total tax revenue","2006","2006",456397,,
"NES","Total","TOTALTAX","Total tax revenue","2007","2007",488901,,
"NES","Total","TOTALTAX","Total tax revenue","2008","2008",604876,,
"NES","Total","TOTALTAX","Total tax revenue","2009","2009",681024,,
"NES","Total","TOTALTAX","Total tax revenue","2010","2010",929506,,
"NES","Total","TOTALTAX","Total tax revenue","2011","2011",1166835,,
"NES","Total","TOTALTAX","Total tax revenue","2012","2012",1594260,,
"NES","Total","TOTALTAX","Total tax revenue","2013","2013",1777109,,
"NES","Total","TOTALTAX","Total tax revenue","2014","2014",1968761.945,,
"NES","Total","TOTALTAX","Total tax revenue","2015","2015",2135262,,
"NES","Total","TOTALTAX","Total tax revenue","2016","2016",2587130,,
"NES","Total","TOTALTAX","Total tax revenue","2017","2017",2953447,,
"NES","Total","TOTALTAX","Total tax revenue","2018","2018",3545043,,
"NES","Total","TOTALTAX","Total tax revenue","2019","2019",4326905,,
"NES","Total","TOTALTAX","Total tax revenue","2020","2020",4376983,,
"NES","Total","TOTALTAX","Total tax revenue","2021","2021",5193373,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2001","2001",53697,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2002","2002",61643,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2003","2003",73046,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2004","2004",93963,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2005","2005",110154,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2006","2006",122405,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2007","2007",125441,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2008","2008",171456,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2009","2009",183098,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2010","2010",291747,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2011","2011",478610,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2012","2012",793769,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2013","2013",757184,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2014","2014",907202,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2015","2015",895337,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2016","2016",1260921,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2017","2017",1183087,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2018","2018",1595947,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2019","2019",1866079,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2020","2020",1992218,,
"FED","Federal or Central government","1000","1000 Taxes on income, profits and capital gains","2021","2021",2435025,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2001","2001",53697,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2002","2002",61643,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2003","2003",73046,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2004","2004",93963,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2005","2005",110154,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2006","2006",122405,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2007","2007",125441,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2008","2008",171456,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2009","2009",183098,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2010","2010",291747,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2011","2011",478610,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2012","2012",793769,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2013","2013",757184,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2014","2014",907202,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2015","2015",895337,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2016","2016",1260921,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2017","2017",1183087,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2018","2018",1595947,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2019","2019",1866079,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2020","2020",1992218,,
"NES","Total","1000","1000 Taxes on income, profits and capital gains","2021","2021",2435025,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2001","2001",33702,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2002","2002",32525,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2003","2003",34468,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2004","2004",46341,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2005","2005",48458,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2006","2006",57749,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2007","2007",74075,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2008","2008",109709,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2009","2009",121942,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2010","2010",155237,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2011","2011",334177,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2012","2012",591239,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2013","2013",656831,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2014","2014",629717,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2015","2015",650329,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2016","2016",936442,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2017","2017",960890,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2018","2018",1157616,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2019","2019",1327986,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2020","2020",1407927,,
"FED","Federal or Central government","1100","1100 Taxes on income, profits and capital gains of individuals","2021","2021",1669755,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2001","2001",33702,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2002","2002",32525,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2003","2003",34468,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2004","2004",46341,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2005","2005",48458,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2006","2006",57749,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2007","2007",74075,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2008","2008",109709,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2009","2009",121942,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2010","2010",155237,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2011","2011",334177,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2012","2012",591239,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2013","2013",656831,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2014","2014",629717,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2015","2015",650329,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2016","2016",936442,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2017","2017",960890,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2018","2018",1157616,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2019","2019",1327986,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2020","2020",1407927,,
"NES","Total","1100","1100 Taxes on income, profits and capital gains of individuals","2021","2021",1669755,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2001","2001",33702,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2002","2002",32525,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2003","2003",34468,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2004","2004",46341,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2005","2005",48458,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2006","2006",57749,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2007","2007",74075,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2008","2008",109709,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2009","2009",121942,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2010","2010",155237,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2011","2011",334177,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2012","2012",591239,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2013","2013",656831,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2014","2014",629717,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2015","2015",650329,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2016","2016",936442,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2017","2017",960890,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2018","2018",1157616,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2019","2019",1327986,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2020","2020",1407927,,
"FED","Federal or Central government","1110","1110 On income and profits of individuals","2021","2021",1669755,,
"NES","Total","1110","1110 On income and profits of individuals","2001","2001",33702,,
"NES","Total","1110","1110 On income and profits of individuals","2002","2002",32525,,
"NES","Total","1110","1110 On income and profits of individuals","2003","2003",34468,,
"NES","Total","1110","1110 On income and profits of individuals","2004","2004",46341,,
"NES","Total","1110","1110 On income and profits of individuals","2005","2005",48458,,
"NES","Total","1110","1110 On income and profits of individuals","2006","2006",57749,,
"NES","Total","1110","1110 On income and profits of individuals","2007","2007",74075,,
"NES","Total","1110","1110 On income and profits of individuals","2008","2008",109709,,
"NES","Total","1110","1110 On income and profits of individuals","2009","2009",121942,,
"NES","Total","1110","1110 On income and profits of individuals","2010","2010",155237,,
"NES","Total","1110","1110 On income and profits of individuals","2011","2011",334177,,
"NES","Total","1110","1110 On income and profits of individuals","2012","2012",591239,,
"NES","Total","1110","1110 On income and profits of individuals","2013","2013",656831,,
"NES","Total","1110","1110 On income and profits of individuals","2014","2014",629717,,
"NES","Total","1110","1110 On income and profits of individuals","2015","2015",650329,,
"NES","Total","1110","1110 On income and profits of individuals","2016","2016",936442,,
"NES","Total","1110","1110 On income and profits of individuals","2017","2017",960890,,
"NES","Total","1110","1110 On income and profits of individuals","2018","2018",1157616,,
"NES","Total","1110","1110 On income and profits of individuals","2019","2019",1327986,,
"NES","Total","1110","1110 On income and profits of individuals","2020","2020",1407927,,
"NES","Total","1110","1110 On income and profits of individuals","2021","2021",1669755,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2001","2001",33702,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2002","2002",32525,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2003","2003",34468,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2004","2004",46341,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2005","2005",48458,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2006","2006",57749,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2007","2007",74075,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2008","2008",109709,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2009","2009",121942,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2010","2010",155237,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2011","2011",334177,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2012","2012",591239,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2013","2013",656831,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2014","2014",629717,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2015","2015",650329,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2016","2016",936442,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2017","2017",960890,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2018","2018",1157616,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2019","2019",1327986,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2020","2020",1407927,,
"FED","Federal or Central government","1110_L01_SLE","Personal Income Tax","2021","2021",1669755,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2001","2001",33702,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2002","2002",32525,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2003","2003",34468,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2004","2004",46341,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2005","2005",48458,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2006","2006",57749,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2007","2007",74075,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2008","2008",109709,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2009","2009",121942,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2010","2010",155237,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2011","2011",334177,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2012","2012",591239,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2013","2013",656831,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2014","2014",629717,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2015","2015",650329,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2016","2016",936442,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2017","2017",960890,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2018","2018",1157616,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2019","2019",1327986,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2020","2020",1407927,,
"NES","Total","1110_L01_SLE","Personal Income Tax","2021","2021",1669755,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2001","2001",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2002","2002",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2003","2003",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2004","2004",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2005","2005",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2006","2006",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2007","2007",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2008","2008",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2009","2009",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2010","2010",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2011","2011",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2012","2012",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2013","2013",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2014","2014",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2015","2015",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2016","2016",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2017","2017",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2018","2018",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2019","2019",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2020","2020",0,,
"FED","Federal or Central government","1120","1120 On capital gains of individuals","2021","2021",0,,
"NES","Total","1120","1120 On capital gains of individuals","2001","2001",0,,
"NES","Total","1120","1120 On capital gains of individuals","2002","2002",0,,
"NES","Total","1120","1120 On capital gains of individuals","2003","2003",0,,
"NES","Total","1120","1120 On capital gains of individuals","2004","2004",0,,
"NES","Total","1120","1120 On capital gains of individuals","2005","2005",0,,
"NES","Total","1120","1120 On capital gains of individuals","2006","2006",0,,
"NES","Total","1120","1120 On capital gains of individuals","2007","2007",0,,
"NES","Total","1120","1120 On capital gains of individuals","2008","2008",0,,
"NES","Total","1120","1120 On capital gains of individuals","2009","2009",0,,
"NES","Total","1120","1120 On capital gains of individuals","2010","2010",0,,
"NES","Total","1120","1120 On capital gains of individuals","2011","2011",0,,
"NES","Total","1120","1120 On capital gains of individuals","2012","2012",0,,
"NES","Total","1120","1120 On capital gains of individuals","2013","2013",0,,
"NES","Total","1120","1120 On capital gains of individuals","2014","2014",0,,
"NES","Total","1120","1120 On capital gains of individuals","2015","2015",0,,
"NES","Total","1120","1120 On capital gains of individuals","2016","2016",0,,
"NES","Total","1120","1120 On capital gains of individuals","2017","2017",0,,
"NES","Total","1120","1120 On capital gains of individuals","2018","2018",0,,
"NES","Total","1120","1120 On capital gains of individuals","2019","2019",0,,
"NES","Total","1120","1120 On capital gains of individuals","2020","2020",0,,
"NES","Total","1120","1120 On capital gains of individuals","2021","2021",0,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2001","2001",19995,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2002","2002",29118,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2003","2003",38578,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2004","2004",47622,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2005","2005",61696,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2006","2006",64656,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2007","2007",51366,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2008","2008",61747,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2009","2009",61156,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2010","2010",136510,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2011","2011",144433,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2012","2012",202530,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2013","2013",100353,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2014","2014",277485,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2015","2015",245008,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2016","2016",324479,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2017","2017",222197,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2018","2018",438331,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2019","2019",538093,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2020","2020",584291,,
"FED","Federal or Central government","1200","1200 Taxes on income, profits and capital gains of corporates","2021","2021",765270,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2001","2001",19995,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2002","2002",29118,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2003","2003",38578,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2004","2004",47622,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2005","2005",61696,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2006","2006",64656,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2007","2007",51366,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2008","2008",61747,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2009","2009",61156,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2010","2010",136510,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2011","2011",144433,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2012","2012",202530,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2013","2013",100353,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2014","2014",277485,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2015","2015",245008,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2016","2016",324479,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2017","2017",222197,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2018","2018",438331,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2019","2019",538093,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2020","2020",584291,,
"NES","Total","1200","1200 Taxes on income, profits and capital gains of corporates","2021","2021",765270,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2001","2001",19995,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2002","2002",29118,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2003","2003",38578,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2004","2004",47622,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2005","2005",61696,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2006","2006",64656,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2007","2007",51366,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2008","2008",61747,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2009","2009",61156,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2010","2010",136510,,
"FED","Federal or Central government","1210","1210 On profits of corporates","2011","2011",144433,,
